code,description_en,description_no
03000000,"Agricultural, farming, fishing, forestry and related products","Landbruk, gårdsbruk, fiske, skogsbruk og relaterte produkter"
03100000,"Agricultural and horticultural products","Landbruk og hagebruksprodukter"
03110000,"Crops, products of market gardening and horticulture","Produkter fra landbruk, gartneri og hagebruk"
03111000,Seeds,Frø
03111100,"Soya beans",Soyabønner
03111200,Peanuts,Peanøtter
03111300,"Sunflower seeds",Solsikkefrø
03111400,"Cotton seeds",Bomullsfrø
03111500,"Sesame seeds",Sesamfrø
03111600,"Mustard seeds",Sennepsfrø
03111700,"Vegetable seeds",Grønnsaksfrø
03111800,"Fruit seeds",Fruktfrø
03111900,"Flower seeds",Blomsterfrø
03112000,"Unmanufactured tobacco",Råtobakk
03113000,"Plants used for sugar manufacturing","Sukkerbeter, sukkerrør"
03113100,"Sugar beet",Sukkerbeter
03113200,"Sugar cane",Sukkerrør
03114000,"Straw and forage","Halm og fórproduksjon"
03114100,Straw,Halm
03114200,Forage,Fórproduksjon
03115000,"Raw vegetable materials","Ubearbeidede planteprodukter"
03115100,"Raw vegetable materials used in textile production","Ubearbeidede planteprodukter, brukt i tekstiler"
03115110,Cotton,Bomull
03115120,Jute,Jute
03115130,Flax,Lin
03116000,"Natural rubber and latex, and associated products","Naturgummi og lateks og tilhørende produkter"
03116100,"Natural rubber",Naturgummi
03116200,"Natural latex",Naturlateks
03116300,"Latex products","Lateks produkter"
03117000,"Plants used in specific fields","Planter til bruk innen særskilte områder"
03117100,"Plants used in perfumery or pharmacy, or for insecticidal or similar purposes","Planter brukt til fremstilling av parfymepreparater, farmasøytiske preparater, insektsbekjempende midler eller lignende"
03117110,"Plants used in perfumery","Planter brukt til fremstilling av parfymepreparater"
03117120,"Plants used in pharmacy","Planter brukt til fremstilling farmasøytiske preparater"
03117130,"Plants used for insecticidal purposes","Planter brukt til fremstilling av innsektsbekjempende midler"
03117140,"Plants used for fungicidal or similar purposes","Planter brukt til fremstilling av soppbekjempende midler eller lignende"
03117200,"Seeds of plants used in specific fields","Plantefrø for spesielle formål"
03120000,"Horticultural and nursery products","Landbruks- og gartneriprodukter"
03121000,"Horticultural products","Hagebruks produkter"
03121100,"Live plants, bulbs, roots, cuttings and slips","Levende planter, blomsterløk, røtter, podekvister og stiklinger"
03121200,"Cut flowers","Avskårne blomster"
03121210,"Floral arrangements",Blomsterarrangementer
03130000,"Beverage and spice crops","Avlinger brukt til fremstilling av drikkevarer og krydder"
03131000,"Beverage crops","Planter til fremstilling av drikkevarer"
03131100,"Coffee beans",Kaffebønner
03131200,"Tea bushes",Teplanter
03131300,Maté,Maté
03131400,"Cocoa beans",Kakaobønner
03132000,"Unprocessed spices","Krydderier, ikke bearbeidet"
03140000,"Animal products and related products","Dyreprodukter og relaterte produkter"
03141000,"Bulls' semen",Tyresæd
03142000,"Animal products","Animalske produkter"
03142100,"Natural honey","Naturlig honning"
03142200,Snails,Snegler
03142300,"Edible products of animal origin","Spiselige produkter av animalsk opprinnelse"
03142400,Waxes,Voks
03142500,Eggs,Egg
03143000,"Products of mixed farming","Produkter fra blandet landbruksdrift"
03144000,"Agricultural supplies",Landbruksvarer
03200000,"Cereals, potatoes, vegetables, fruits and nuts","Korn, poteter, grønnsaker, frukt og nøtter"
03210000,"Cereals and potatoes","Korn og poteter"
03211000,Cereals,Korn
